isbn_livro,posicao,copias_vendidas,mes_ano
978-85-50801-48-3,10,3.433,7//2020
978-85-32529-78-7,11,3.420,7//2020
978-65-99142-50-5,12,3.340,7//2020
978-65-80775-14-9,13,3.139,7//2020
978-85-45202-21-9,14,3.030,7//2020
978-85-47000-24-0,15,2.955,7//2020
978-85-39004-11-9,16,2.954,7//2020
978-85-93156-29-8,17,2.842,7//2020
978-85-62409-88-2,18,2.798,7//2020
978-85-25065-36-0,19,2.634,7//2020
978-85-43104-33-1,20,2.460,7//2020
978-65-55600-29-2,1,20.201,8//2020
978-85-68014-00-4,2,7.528,8//2020
978-85-45203-89-6,3,7.268,8//2020
978-85-50801-48-3,4,6.065,8//2020
978-85-32512-94-9,5,5.721,8//2020
978-85-76849-94-0,6,5.024,8//2020
978-85-95083-27-1,7,4.715,8//2020
790-83-12102-02-9,8,3.783,8//2020
978-85-51002-49-0,9,3.415,8//2020
978-85-32529-78-7,10,3.007,8//2020
978-85-95086-82-1,11,2.973,8//2020
978-85-75422-39-7,12,2.960,8//2020
978-85-82781-70-8,13,2.957,8//2020
978-85-39004-11-9,14,2.924,8//2020
978-85-93156-29-8,15,2.710,8//2020
978-85-47000-24-0,16,2.542,8//2020
978-85-43104-33-1,17,2.295,8//2020
978-85-62409-88-2,18,2.219,8//2020
978-85-95081-53-6,19,2.188,8//2020
978-85-35932-87-4,20,2.103,8//2020
978-65-55600-29-2,1,8.443,9//2020
978-85-68014-00-4,2,7.675,9//2020
978-85-32512-94-9,3,7.380,9//2020
978-85-45203-89-6,4,7.213,9//2020
978-85-82781-70-8,5,6.666,9//2020
978-85-51002-49-0,6,5.988,9//2020
978-85-95083-27-1,7,4.269,9//2020
978-85-76849-94-0,8,3.845,9//2020
978-85-32529-78-7,9,3.836,9//2020
978-85-50801-48-3,10,3.705,9//2020
790-83-12102-02-9,11,3.010,9//2020
978-85-39004-11-9,12,2.936,9//2020
978-65-88485-00-2,13,2.873,9//2020
978-65-55351-35-4,14,2.763,9//2020
978-85-51006-37-5,15,2.750,9//2020
978-65-99142-52-9,16,2.727,9//2020
978-85-45203-51-3,17,2.725,9//2020
978-85-75422-39-7,18,2.436,9//2020
978-85-43104-33-1,19,2.433,9//2020
978-65-55440-19-5,20,2.255,9//2020
978-85-45203-89-6,1,9.895,10//2020
978-85-68014-00-4,2,9.176,10//2020
978-85-51002-49-0,3,8.387,10//2020
978-85-32512-94-9,4,7.260,10//2020
978-65-88485-01-9,5,6.639,10//2020
978-65-55351-35-4,6,6.583,10//2020
978-65-55600-29-2,7,6.351,10//2020
978-85-95083-27-1,8,6.144,10//2020
978-85-82781-70-8,9,4.895,10//2020
978-85-01303-79-0,10,4.077,10//2020
978-85-32529-78-7,11,3.904,10//2020
978-85-76849-94-0,12,3.691,10//2020
978-65-55670-15-8,13,3.614,10//2020
978-65-55440-41-6,14,3.536,10//2020
978-85-32530-78-3,15,3.195,10//2020
978-65-55440-29-4,16,3.003,10//2020
978-85-68014-54-7,17,2.903,10//2020
978-85-32530-79-0,18,2.805,10//2020
978-85-45202-21-9,19,2.753,10//2020
978-85-43104-33-1,20,2.693,10//2020
978-85-68014-00-4,1,6.831,11//2020
978-85-32512-94-9,2,6.563,11//2020
978-85-51002-49-0,3,6.403,11//2020
978-85-45203-89-6,4,6.363,11//2020
978-85-35932-87-4,5,4.866,11//2020
978-85-95083-27-1,6,4.255,11//2020
978-65-88484-00-5,7,3.954,11//2020
978-85-32529-78-7,8,3.554,11//2020
978-85-45202-21-9,9,3.482,11//2020
978-85-45203-72-8,10,3.255,11//2020
978-85-82781-70-8,11,3.134,11//2020
978-65-55600-29-2,12,3.130,11//2020
978-85-35933-96-3,13,3.060,11//2020
978-85-50801-48-3,14,2.925,11//2020
978-85-76849-94-0,15,2.776,11//2020
978-65-55351-35-4,16,2.630,11//2020
978-65-86077-04-9,17,2.492,11//2020
978-85-68014-54-7,18,2.487,11//2020
978-85-39004-11-9,19,2.406,11//2020
978-85-95081-53-6,20,2.397,11//2020
978-85-68014-00-4,1,15.160,12//2020
978-85-32512-94-9,2,14.614,12//2020
978-65-55440-49-2,3,12.767,12//2020
978-85-35933-96-3,4,12.698,12//2020
978-85-51002-49-0,5,10.869,12//2020
978-85-32529-78-7,6,8.864,12//2020
978-85-35909-55-5,7,8.533,12//2020
978-85-35914-84-9,8,7.380,12//2020
978-85-95083-27-1,9,7.362,12//2020
978-85-45203-72-8,10,6.526,12//2020
978-65-55600-29-2,11,6.276,12//2020
978-85-62409-88-2,12,6.098,12//2020
978-85-45202-21-9,13,5.866,12//2020
978-85-50801-48-3,14,5.722,12//2020
978-65-86070-13-2,15,5.475,12//2020
978-85-35932-87-4,16,5.474,12//2020
978-85-38066-47-7,17,5.031,12//2020
978-85-95081-53-6,18,4.686,12//2020
978-85-51002-93-3,19,4.599,12//2020
978-65-55440-50-8,20,4.500,12//2020
978-85-68014-00-4,1,15.601,1//2021
978-85-51002-49-0,2,10.113,1//2021
978-65-55440-49-2,3,9.623,1//2021
978-85-95083-27-1,4,9.380,1//2021
978-85-50801-48-3,5,7.490,1//2021
978-85-80411-46-1,6,6.845,1//2021
978-85-35909-55-5,7,6.669,1//2021
978-85-32529-78-7,8,6.575,1//2021
978-85-35933-96-3,9,6.525,1//2021
978-85-45202-21-9,10,6.291,1//2021
978-85-45203-72-8,11,5.541,1//2021
978-85-95081-53-6,12,5.387,1//2021
978-85-35914-84-9,13,5.217,1//2021
978-85-39004-11-9,14,4.974,1//2021
978-85-76849-94-0,15,4.716,1//2021
978-85-80411-97-3,16,4.622,1//2021
978-85-47000-24-0,17,4.439,1//2021
978-85-38066-47-7,18,4.308,1//2021
