isbn_livro,posicao,copias_vendidas,mes_ano
978-65-80309-31-3,15,3.593,8//2022
978-85-32604-91-0,16,3.576,8//2022
978-85-42218-75-6,17,3.568,8//2022
978-85-55341-61-8,18,3.396,8//2022
978-65-55442-27-4,19,3.284,8//2022
978-85-47000-24-0,20,3.213,8//2022
978-85-01112-51-4,1,12.622,9//2022
978-65-88444-51-1,2,12.336,9//2022
978-65-86077-89-6,3,10.652,9//2022
978-85-45202-21-9,4,7.858,9//2022
978-65-53620-07-0,5,7.397,9//2022
978-85-68014-00-4,6,7.396,9//2022
978-65-59571-86-4,7,6.693,9//2022
978-65-55653-30-4,8,6.639,9//2022
978-85-51002-34-6,9,5.714,9//2022
978-65-55441-83-3,10,5.540,9//2022
978-85-32529-78-7,11,5.213,9//2022
978-65-50471-41-5,12,5.165,9//2022
978-85-32604-91-0,13,4.694,9//2022
978-65-80309-31-3,14,4.469,9//2022
978-65-55442-38-0,15,4.434,9//2022
978-65-59870-52-3,16,4.207,9//2022
978-85-68014-54-7,17,4.165,9//2022
978-85-01117-68-7,18,3.591,9//2022
978-85-75422-39-7,19,3.501,9//2022
978-85-84391-50-9,20,3.420,9//2022
978-85-01112-51-4,1,11.813,10//2022
978-65-86077-89-6,2,9.121,10//2022
978-65-59811-39-7,3,6.918,10//2022
978-65-55653-30-4,4,6.136,10//2022
978-85-68014-00-4,5,5.355,10//2022
978-85-51002-34-6,6,5.061,10//2022
978-65-59571-86-4,7,4.891,10//2022
978-65-88523-56-8,8,4.806,10//2022
978-65-55358-22-3,9,4.735,10//2022
978-85-32529-78-7,10,4.685,10//2022
978-65-59224-13-5,11,3.698,10//2022
978-65-57121-38-2,13,3.537,10//2022
978-65-88444-51-1,14,3.515,10//2022
978-85-01117-68-7,15,3.466,10//2022
978-85-45202-21-9,16,3.257,10//2022
978-65-53620-07-0,17,3.125,10//2022
978-85-42218-75-6,18,3.031,10//2022
978-65-55442-43-4,19,3.008,10//2022
978-65-55644-66-1,20,2.969,10//2022
978-65-59811-39-7,1,25.734,11//2022
978-85-01112-51-4,2,14.700,11//2022
978-65-86077-89-6,3,10.559,11//2022
978-85-68014-00-4,4,5.384,11//2022
978-85-32604-91-0,5,5.354,11//2022
978-65-55653-30-4,6,5.163,11//2022
978-85-32529-78-7,7,4.696,11//2022
978-85-51002-34-6,8,4.577,11//2022
978-65-80309-31-3,9,4.422,11//2022
978-65-59571-86-4,10,4.294,11//2022
978-65-55644-66-1,11,4.059,11//2022
978-85-75422-39-7,12,3.944,11//2022
978-65-55442-78-6,13,3.898,11//2022
978-65-88484-57-9,14,3.729,11//2022
978-85-56510-76-1,15,3.676,11//2022
978-65-55358-22-3,16,3.501,11//2022
978-85-01117-84-7,17,3.459,11//2022
978-65-88444-51-1,18,3.314,11//2022
978-85-43108-68-1,19,3.268,11//2022
978-85-68014-54-7,20,3.261,11//2022
978-65-59811-39-7,1,34.842,12//2022
978-85-01112-51-4,2,26.519,12//2022
978-85-68014-00-4,3,12.898,12//2022
978-65-86077-89-6,4,12.535,12//2022
978-85-32529-78-7,5,9.832,12//2022
978-85-32604-91-0,6,9.745,12//2022
978-65-53931-57-2,7,9.196,12//2022
978-65-55653-30-4,8,8.171,12//2022
978-65-58380-54-2,9,8.167,12//2022
978-65-55604-42-9,10,7.674,12//2022
978-85-51002-34-6,11,7.422,12//2022
978-65-80309-31-3,12,6.966,12//2022
978-65-55871-78-4,13,6.722,12//2022
978-85-55391-21-7,14,6.707,12//2022
978-85-01117-68-7,15,6.691,12//2022
978-85-50703-63-3,16,6.490,12//2022
978-65-55644-66-1,17,6.376,12//2022
978-85-84391-50-9,18,6.119,12//2022
978-85-43108-68-1,19,6.098,12//2022
978-85-01117-84-7,20,5.990,12//2022
978-65-59811-39-7,1,16.356,1//2023
978-85-01112-51-4,2,15.535,1//2023
978-65-55604-42-9,3,12.483,1//2023
978-65-55843-14-9,4,9.790,1//2023
978-85-68014-00-4,5,7.615,1//2023
978-85-45202-21-9,6,7.141,1//2023
978-85-39007-47-9,7,5.918,1//2023
978-85-32529-78-7,8,5.158,1//2023
978-65-58380-54-2,9,4.825,1//2023
978-85-32604-91-0,10,4.712,1//2023
978-85-43108-68-1,11,4.676,1//2023
978-65-55653-30-4,12,4.618,1//2023
978-85-51002-34-6,13,4.285,1//2023
978-85-75422-39-7,14,4.202,1//2023
978-85-01117-68-7,15,4.127,1//2023
978-85-68014-54-7,16,3.894,1//2023
978-65-55871-78-4,17,3.862,1//2023
978-85-01117-84-7,18,3.847,1//2023
978-65-80309-31-3,19,3.831,1//2023
978-85-84391-50-9,20,3.472,1//2023
978-65-55843-14-9,1,13.993,2//2023
978-85-01112-51-4,2,11.998,2//2023
978-65-59811-39-7,3,11.810,2//2023
978-65-55442-67-0,4,6.281,2//2023
978-85-68014-00-4,5,6.023,2//2023
978-65-55604-42-9,6,5.399,2//2023
978-85-45202-21-9,7,5.326,2//2023
978-65-55443-19-6,8,4.639,2//2023
978-85-39007-47-9,9,4.612,2//2023
978-85-32604-91-0,10,4.068,2//2023
978-65-58380-54-2,11,3.880,2//2023
978-85-32529-78-7,12,3.876,2//2023
978-85-01117-84-7,13,3.720,2//2023
978-85-68014-54-7,14,3.548,2//2023
978-85-43108-68-1,15,3.490,2//2023
978-85-42218-75-6,16,3.352,2//2023
978-65-80309-31-3,17,3.230,2//2023
978-85-45200-34-5,18,3.216,2//2023
978-65-55653-30-4,19,3.131,2//2023
978-85-35909-55-5,20,2.961,2//2023
978-65-84661-36-3,1,15.551,3//2023
978-65-55843-14-9,2,14.211,3//2023
978-85-01112-51-4,3,11.855,3//2023
978-65-59811-39-7,4,10.887,3//2023
978-85-45202-21-9,5,8.598,3//2023
978-85-32529-78-7,6,5.821,3//2023
978-65-55843-43-9,7,5.389,3//2023
978-85-68014-00-4,8,5.212,3//2023
978-65-58380-54-2,9,4.865,3//2023
978-65-86077-82-7,10,4.592,3//2023
978-65-53627-39-0,11,4.508,3//2023
978-65-55871-78-4,12,4.285,3//2023
978-65-55604-42-9,13,3.959,3//2023
978-85-62409-88-2,14,3.867,3//2023
978-85-32604-91-0,15,3.833,3//2023
978-65-88444-69-6,16,3.454,3//2023
978-85-43108-68-1,17,3.423,3//2023
978-85-84391-50-9,18,3.285,3//2023
978-85-01117-84-7,19,3.190,3//2023
978-65-55653-30-4,20,3.157,3//2023
978-65-86077-82-7,1,11.306,4//2023
978-65-55843-14-9,2,8.509,4//2023
978-85-68014-00-4,3,7.904,4//2023
978-65-59811-39-7,4,6.493,4//2023
978-85-01112-51-4,5,6.370,4//2023
978-85-45202-21-9,6,5.857,4//2023
978-65-88444-69-6,7,4.674,4//2023
978-65-55871-78-4,8,4.279,4//2023
978-65-55441-50-5,9,4.132,4//2023
978-65-58380-54-2,10,4.087,4//2023
978-85-68014-54-7,11,3.575,4//2023
978-85-62409-88-2,12,3.211,4//2023
978-65-55443-13-4,13,3.129,4//2023
978-65-55443-06-6,14,3.033,4//2023
978-85-32604-91-0,15,3.024,4//2023
978-85-76831-30-3,16,2.873,4//2023
978-85-32529-78-7,17,2.870,4//2023
978-65-55604-42-9,18,2.769,4//2023
978-85-42218-75-6,19,2.544,4//2023
978-65-84661-36-3,20,2.527,4//2023
